w [*] :=
 1  0.0915065     16  0.683065      31 -0.17042       46 -2.01071
 35 1.29262e-10   179 3.87719e-11   323 3.86432e-11   467 5.81884e-11
 36 3.90417e-11   180 3.92443e-11   324 4.13949e-11   468 3.85025e-11
 37 3.89908e-11   181 4.15127e-11   325 3.81781e-11   469 0.596304
 38 5.90672e-11   182 4.00567e-11   326 3.86894e-11   470 3.84331e-11
 39 0.378137      183 3.91508e-11   327 3.87429e-11   471 3.91174e-11
 40 2.55423       184 3.95724e-11   328 3.84283e-11   472 3.85126e-11
 41 2.22401       185 3.83711e-11   329 3.88624e-11   473 4.0109e-11
 42 3.94266e-11   186 5.06788e-11   330 3.84583e-11   474 5.62288e-11
 43 0.944194      187 2.71584e-10   331 0.759659      475 3.82653e-11
 44 0.728847      188 3.90037e-11   332 3.84845e-11   476 7.03389e-11
 45 3.94266e-11   189 3.85486e-11   333 3.87759e-11   477 3.0018
 46 4.07941e-11   190 3.9349e-11    334 3.96089e-11   478 3.85206e-11
 47 1.49909       191 3.97048e-11   335 3.83694e-11   479 3.85621e-11
 48 5.99331e-11   192 4.16067e-11   336 3.85994e-11   480 0.881645
 49 4.02328e-11   193 4.41223e-11   337 3.67302e-11   481 3.83602e-11
 50 0.0954103     194 3.81931e-11   338 3.80449e-11   482 3.78033e-11
 51 7.47206e-11   195 3.77865e-11   339 3.81284e-11   483 3.92176e-11
 52 3.97014e-11   196 3.82476e-11   340 3.97095e-11   484 1.38563
 53 3.99683e-11   197 0.276288      341 3.84376e-11   485 3.8239e-11
 54 3.85518e-11   198 0.506762      342 3.8588e-11    486 3.72639e-11
 55 3.90911e-11   199 3.98912e-11   343 3.8188e-11    487 3.82067e-11
 56 4.4835e-11    200 4.0924e-11    344 3.85946e-11   488 3.74422e-11
 57 0.852193      201 3.92606e-11   345 0.801094      489 3.92915e-11
 58 3.99536e-11   202 3.85658e-11   346 3.74849e-11   490 3.75583e-11
 59 3.9732e-11    203 3.85659e-11   347 3.66372e-11   491 3.96848e-11
 60 5.13981e-11   204 4.41224e-11   348 3.75992e-11   492 3.83653e-11
 61 3.91284e-11   205 1.9699        349 3.7846e-11    493 3.8705e-11
 62 4.05655e-11   206 3.97254e-11   350 3.86821e-11   494 3.91379e-11
 63 4.01028e-11   207 3.94311e-11   351 3.83742e-11   495 0.023184
 64 3.95359e-11   208 3.97713e-11   352 3.84925e-11   496 3.77745e-11
 65 1.56294       209 3.92219e-11   353 3.84425e-11   497 4.12376e-11
 66 4.06822e-11   210 4.84263       354 0.210469      498 3.8314e-11
 67 3.89909e-11   211 0.815754      355 3.84351e-11   499 3.84331e-11
 68 3.98062e-11   212 3.98543e-11   356 3.83009e-11   500 3.86851e-11
 69 5.29527e-11   213 3.94425e-11   357 3.87866e-11   501 3.74926e-11
 70 3.93751e-11   214 3.77472e-11   358 3.8538e-11    502 3.8974e-11
 71 3.94023e-11   215 4.00633e-11   359 3.77038e-11   503 3.77586e-11
 72 0.0266883     216 0.856232      360 3.82972e-11   504 4.01426e-11
 73 9.12866e-11   217 3.91274e-11   361 2.51105e-10   505 3.84041e-11
 74 4.05927e-11   218 4.41871e-11   362 3.79173e-11   506 3.90825e-11
 75 4.08372e-11   219 3.81906e-11   363 3.85877e-11   507 3.94182e-11
 76 3.89982e-11   220 3.80428e-11   364 3.79946e-11   508 3.86604e-11
 77 4.00689e-11   221 3.84724e-11   365 3.77861e-11   509 3.84309e-11
 78 4.30556e-11   222 3.91085e-11   366 3.81974e-11   510 3.82514e-11
 79 1.62629       223 3.89835e-11   367 3.8317e-11    511 3.77016e-11
 80 0.668224      224 0.340144      368 4.06791e-11   512 3.82798e-11
 81 1.74526e-10   225 3.85816e-11   369 3.7441e-11    513 3.91441e-11
 82 3.89928e-11   226 4.22922e-11   370 3.82081e-11   514 3.81237e-11
 83 0.0358378     227 3.90092e-11   371 7.2294e-11    515 3.78408e-11
 84 7.03664e-11   228 3.84071e-11   372 3.86939e-11   516 4.44932e-11
 85 5.04513e-11   229 3.82125e-11   373 3.85987e-11   517 3.84544e-11
 86 3.85708e-11   230 4.04713e-11   374 3.82747e-11   518 7.8672e-11
 87 5.81623e-11   231 0.20132       375 3.80837e-11   519 1.45025e-10
 88 4.11613e-11   232 8.56326e-11   376 0.227874      520 4.15942e-11
 89 3.95588e-11   233 3.76422e-11   377 6.64207e-11   521 0.0980907
 90 3.89249e-11   234 3.921e-11     378 3.7874e-11    522 0.365541
 91 3.84734e-11   235 4.09259e-11   379 3.8496e-11    523 3.96473e-11
 92 3.93881e-11   236 3.8373e-11    380 3.84678e-11   524 4.13532e-11
 93 1.38642       237 1.66283       381 3.83876e-11   525 0.290011
 94 1.05255       238 3.76422e-11   382 3.86032e-11   526 0.363333
 95 4.13623e-11   239 3.81501e-11   383 3.85371e-11   527 3.88644e-11
 96 3.90432e-11   240 3.91474e-11   384 3.82979e-11   528 4.45532e-11
 97 3.9597e-11    241 3.79178e-11   385 3.92717e-11   529 0.366287
 98 5.33488e-11   242 1.91487       386 3.97713e-11   530 0.3641
 99 5.04365e-11   243 3.88515e-11   387 3.81406e-11   531 3.84539e-11
100 4.66878e-11   244 5.2648e-11    388 3.8194e-11    532 0.604217
101 1.11178       245 3.84147e-11   389 3.97713e-11   533 3.83365e-11
102 4.00445e-11   246 3.95378e-11   390 4.04187e-11   534 4.03905e-11
103 3.82048e-11   247 3.83843e-11   391 3.97713e-11   535 4.72757e-11
104 0.483027      248 4.07341e-11   392 3.97713e-11   536 3.82881e-11
105 4.05523e-11   249 3.72402e-11   393 3.97713e-11   537 3.82578e-11
106 4.46045e-11   250 3.85578e-11   394 3.87684e-11   538 0.568045
107 3.83373e-11   251 3.84693e-11   395 3.77427e-11   539 2.01933e-09
108 4.01683e-11   252 3.85506e-11   396 3.83331e-11   540 0.675015
109 0.72511       253 3.80749e-11   397 3.76165e-11   541 3.87488e-11
110 1.52702e-10   254 3.97256e-11   398 3.63148e-11   542 3.87215e-11
111 3.82913e-11   255 3.88718e-11   399 3.83574e-11   543 3.87245e-11
112 0.142071      256 3.91013e-11   400 3.83794e-11   544 3.86883e-11
113 4.00038e-11   257 0.153902      401 3.80678e-11   545 3.8955e-11
114 3.93743e-11   258 3.81546e-11   402 4.06786e-11   546 3.86641e-11
115 3.87378e-11   259 3.86433e-11   403 3.80041e-11   547 3.9199e-11
116 3.9113e-11    260 3.82475e-11   404 3.81116e-11   548 3.86712e-11
117 3.8802e-11    261 0.915668      405 3.83667e-11   549 2.34075
118 4.02132e-11   262 3.85386e-11   406 3.78551e-11   550 0.468491
119 4.2437e-11    263 3.84113e-11   407 3.84275e-11   551 1.02199
120 3.86134e-11   264 3.82195e-11   408 3.86994e-11   552 3.80474e-11
121 4.34724e-11   265 4.05298e-11   409 3.85969e-11   553 3.88329e-11
122 3.95537e-11   266 3.78961e-11   410 6.70441       554 3.52107
123 3.94124e-11   267 3.91565e-11   411 3.85416e-11   555 0.907851
124 3.80747e-11   268 0.906373      412 3.94948e-11   556 0.475101
125 3.84269e-11   269 3.86346e-11   413 0.987899      557 3.84172e-11
126 3.98557e-11   270 3.8398e-11    414 3.87885e-11   558 4.17079
127 0.0410363     271 4.60135e-11   415 3.82974e-11   559 3.72966e-11
128 1.52477       272 3.83459e-11   416 3.79735e-11   560 3.79915e-11
129 3.88587e-11   273 3.85817e-11   417 3.80067e-11   561 8.97802e-11
130 3.87795e-11   274 3.73955e-11   418 5.42725e-11   562 3.87077e-11
131 0.793078      275 3.80185e-11   419 3.89954e-11   563 0.812742
132 4.02105e-11   276 3.88737e-11   420 3.84205e-11   564 3.85443e-11
133 3.96287e-11   277 3.8891e-11    421 3.77563e-11   565 0.0316887
134 0.721473      278 3.905e-11     422 3.8203e-11    566 3.9079e-11
135 3.87385e-11   279 3.92625e-11   423 0.288829      567 3.87397e-11
136 4.09366e-11   280 3.78075e-11   424 3.85491e-11   568 4.39368e-11
137 4.31015e-11   281 3.82067e-11   425 3.87834e-11   569 3.84177e-11
138 3.98435e-11   282 3.9241e-11    426 3.70843e-11   570 0.248232
139 3.91089e-11   283 1.44532       427 3.83426e-11   571 3.9786e-11
140 4.11919e-11   284 3.82553e-11   428 4.27665e-11   572 3.83126e-11
141 4.20317e-11   285 3.74881e-11   429 3.73389e-11   573 4.98763e-11
142 3.87647e-11   286 3.86661e-11   430 1.69983       574 3.84745e-11
143 4.38402e-11   287 4.06754e-11   431 4.27411e-11   575 3.90259e-11
144 3.98428e-11   288 3.83354e-11   432 4.1395e-11
;

y_pred [*] :=
  1  1    65 -1   129  1   193  1   257 -1   321 -1   385 -1   449 -1   513 -1
  2  1    66 -1   130  1   194  1   258 -1   322 -1   386 -1   450 -1   514 -1
  3  1    67  1   131  1   195  1   259 -1   323 -1   387 -1   451 -1   515 -1
  4  1    68  1   132 -1   196  1   260 -1   324 -1   388 -1   452 -1   516 -1
  5  1    69  1   133  1   197  1   261 -1   325 -1   389 -1   453 -1   517 -1
  6  1    70  1   134  1   198  1   262 -1   326 -1   390 -1   454 -1   518 -1
  7  1    71  1   135  1   199  1   263 -1   327  1   391 -1   455 -1   519 -1
  8  1    72  1   136  1   200  1   264 -1   328 -1   392 -1   456 -1   520 -1
  9  1    73  1   137  1   201  1   265 -1   329 -1   393 -1   457 -1   521 -1
 10  1    74  1   138  1   202 -1   266 -1   330 -1   394 -1   458 -1   522 -1
 11  1    75  1   139  1   203 -1   267 -1   331 -1   395 -1   459 -1   523 -1
 12  1    76  1   140  1   204  1   268 -1   332 -1   396 -1   460 -1   524 -1
 13  1    77  1   141  1   205  1   269 -1   333 -1   397 -1   461 -1   525 -1
 14 -1    78  1   142  1   206  1   270 -1   334 -1   398 -1   462 -1   526 -1
 15  1    79 -1   143  1   207  1   271 -1   335 -1   399 -1   463 -1   527  1
 16  1    80  1   144  1   208 -1   272 -1   336 -1   400 -1   464 -1   528  1
 17  1    81  1   145  1   209  1   273 -1   337 -1   401 -1   465 -1   529 -1
 18  1    82  1   146  1   210  1   274 -1   338 -1   402 -1   466 -1   530 -1
 19  1    83  1   147  1   211 -1   275 -1   339 -1   403 -1   467 -1   531 -1
 20  1    84  1   148  1   212 -1   276 -1   340 -1   404 -1   468 -1   532 -1
 21  1    85  1   149  1   213  1   277 -1   341 -1   405 -1   469 -1   533 -1
 22  1    86  1   150  1   214 -1   278 -1   342 -1   406 -1   470 -1   534 -1
 23  1    87  1   151  1   215  1   279 -1   343 -1   407 -1   471 -1   535 -1
 24  1    88  1   152  1   216  1   280 -1   344 -1   408 -1   472 -1   536 -1
 25  1    89  1   153 -1   217 -1   281 -1   345 -1   409 -1   473 -1   537 -1
 26  1    90  1   154 -1   218  1   282 -1   346 -1   410 -1   474 -1   538 -1
 27  1    91  1   155  1   219  1   283 -1   347 -1   411 -1   475 -1   539 -1
 28  1    92  1   156  1   220  1   284 -1   348 -1   412 -1   476 -1   540  1
 29 -1    93  1   157  1   221  1   285 -1   349 -1   413 -1   477 -1   541 -1
 30  1    94  1   158  1   222  1   286 -1   350 -1   414 -1   478 -1   542 -1
 31  1    95  1   159  1   223  1   287 -1   351 -1   415 -1   479 -1   543 -1
 32  1    96  1   160  1   224  1   288 -1   352 -1   416 -1   480 -1   544 -1
 33  1    97  1   161 -1   225  1   289 -1   353 -1   417 -1   481  1   545 -1
 34  1    98  1   162  1   226  1   290 -1   354 -1   418 -1   482 -1   546 -1
 35  1    99  1   163  1   227 -1   291 -1   355 -1   419 -1   483 -1   547 -1
 36 -1   100  1   164  1   228 -1   292 -1   356 -1   420 -1   484 -1   548 -1
 37  1   101  1   165  1   229 -1   293 -1   357 -1   421 -1   485 -1   549 -1
 38  1   102  1   166  1   230 -1   294 -1   358 -1   422 -1   486 -1   550 -1
 39  1   103  1   167  1   231 -1   295 -1   359 -1   423 -1   487 -1   551 -1
 40  1   104  1   168  1   232 -1   296 -1   360  1   424 -1   488 -1   552 -1
 41  1   105  1   169 -1   233 -1   297 -1   361 -1   425 -1   489 -1   553 -1
 42  1   106  1   170  1   234 -1   298 -1   362 -1   426 -1   490 -1   554 -1
 43  1   107  1   171  1   235 -1   299 -1   363 -1   427 -1   491 -1   555 -1
 44 -1   108  1   172  1   236 -1   300 -1   364 -1   428 -1   492 -1   556 -1
 45  1   109  1   173  1   237 -1   301 -1   365 -1   429 -1   493  1   557 -1
 46  1   110  1   174  1   238 -1   302 -1   366 -1   430 -1   494 -1   558  1
 47 -1   111  1   175 -1   239 -1   303 -1   367 -1   431 -1   495 -1   559 -1
 48 -1   112 -1   176  1   240 -1   304  1   368 -1   432  1   496 -1   560 -1
 49 -1   113  1   177  1   241 -1   305 -1   369 -1   433 -1   497 -1   561 -1
 50 -1   114  1   178  1   242 -1   306 -1   370 -1   434 -1   498 -1   562 -1
 51  1   115  1   179  1   243 -1   307 -1   371 -1   435 -1   499 -1   563 -1
 52  1   116  1   180  1   244 -1   308 -1   372 -1   436 -1   500 -1   564 -1
 53  1   117  1   181  1   245 -1   309 -1   373 -1   437 -1   501 -1   565 -1
 54  1   118  1   182  1   246 -1   310 -1   374 -1   438 -1   502 -1   566 -1
 55  1   119  1   183 -1   247 -1   311 -1   375 -1   439 -1   503 -1   567 -1
 56  1   120  1   184  1   248 -1   312 -1   376 -1   440 -1   504 -1   568 -1
 57  1   121  1   185  1   249 -1   313 -1   377 -1   441 -1   505 -1   569 -1
 58  1   122  1   186  1   250 -1   314 -1   378 -1   442 -1   506 -1   570 -1
 59 -1   123  1   187  1   251 -1   315 -1   379 -1   443 -1   507 -1   571 -1
 60 -1   124  1   188  1   252 -1   316 -1   380 -1   444  1   508 -1   572 -1
 61  1   125  1   189 -1   253 -1   317 -1   381 -1   445 -1   509 -1   573 -1
 62  1   126  1   190  1   254 -1   318 -1   382 -1   446 -1   510 -1   574 -1
 63  1   127  1   191  1   255 -1   319 -1   383 -1   447 -1   511 -1   575 -1
 64  1   128  1   192  1   256 -1   320 -1   384 -1   448 -1   512 -1
;

accurracy/m*100 = 93.0435

